j_reset_real 0 00100000 B               reset; Branch
pbl_sahara3 3 00105d50 LDR             R0, =loc_111000; Load from Memory
pbl_sahara3 4 00105d68 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_105D8C 0 00105d8c MOV             R0, #0x200; Rd = Op2
sub_105D94 0 00105d94 LDR             R0, =loc_111000; Load from Memory
sub_105D94 1 00111bc0 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_105D94 2 00111bd0 LDR             R0, =dword_20563C; Load from Memory
sub_105D94 3 00111be0 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_105DAC 0 00105dac LDR             R12, =loc_111000; Load from Memory
sub_105DAC 1 00111cb4 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_105DBC 0 00105dbc LDR             R0, =loc_111000; Load from Memory
sub_105DE8 0 00105de8 LDR             R12, =loc_111000; Load from Memory
sub_105DE8 1 00111e2c STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_105DF8 0 00105df8 STMFD           SP!, {R4,LR}; Store Block to Memory
pbl_sahara 0 00105e14 CMP             R0, #0; Set cond. codes on Op1 - Op2
pbl_sahara 1 00105e20 MOV             R3, #0; a4
pbl_sahara 2 00105e34 LDR             R0, =unk_800305C; Load from Memory
pbl_sahara 3 00105e44 MOV             R3, R0; a4
pbl_sahara 4 00105e58 LDR             R0, =loc_111000; Load from Memory
sub_105E90 0 00105e90 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_105E90 1 00105eb0 CMP             R3, #8; switch 8 cases
sub_105E90 2 00105ec0 B               loc_105F8C; jumptable 00105EBC default case
sub_105E90 3 00105ee4 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_105E90 4 00105ef0 B               loc_105F94; Branch
sub_105E90 5 00105ef4 STR             R12, [R1,#0]; jumptable 00105EBC case 0
sub_105E90 6 00105efc LDR             R0, =unk_8003514; jumptable 00105EBC case 1
sub_105E90 7 00105f1c MOV             R0, #0x18; jumptable 00105EBC case 2
sub_105E90 8 00105f40 MOV             R0, #0x60; jumptable 00105EBC case 3
sub_105E90 9 00105f64 MOV             R0, #0x100; jumptable 00105EBC case 6
sub_105E90 10 00105f74 STR             R2, [R1,#0]; jumptable 00105EBC case 7
sub_105E90 11 00105f8c MOV             R4, #0x1F; jumptable 00105EBC default case
sub_105E90 12 00105f94 STR             R4, [R5,#0]; Store to Memory
sub_105E90 13 00105f98 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_105FB0 0 00105fb0 MOV             R0, #0x1000; Rd = Op2
some_sahara_stuff 0 00105fb8 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
some_sahara_stuff 1 00105fc4 MOV             R3, #0; a4
some_sahara_stuff 2 00105fd8 LDR             R0, [R6,#0x28]; Load from Memory
some_sahara_stuff 3 00105fe4 MOV             R3, #0; a4
some_sahara_stuff 4 00105ff8 LDR             R0, =loc_111000; Load from Memory
some_sahara_stuff 5 0010600c MOV             R3, #0x4000; a4
some_sahara_stuff 6 00106020 LDR             R1, =unk_8003154; Load from Memory
some_sahara_stuff 7 00106054 MOV             R3, R5; a4
some_sahara_stuff 8 00106068 BL              get_pbl_struct_ptr; Branch with Link
some_sahara_stuff 9 00106078 CMP             R5, #3; Set cond. codes on Op1 - Op2
some_sahara_stuff 10 00106080 B               loc_1060E0; Branch
some_sahara_stuff 11 00106084 LDR             R0, [R0,#0x30]; Load from Memory
some_sahara_stuff 12 00106090 CMP             R0, #2; Set cond. codes on Op1 - Op2
some_sahara_stuff 13 00106098 CMP             R5, #3; Set cond. codes on Op1 - Op2
some_sahara_stuff 14 001060a0 CMP             R5, #0; Set cond. codes on Op1 - Op2
some_sahara_stuff 15 001060a8 MOV             R3, R4; a4
some_sahara_stuff 16 001060bc LDR             R0, [R7,#8]; Load from Memory
some_sahara_stuff 17 001060d4 B               loc_1060E8; Branch
some_sahara_stuff 18 001060d8 CMP             R5, #3; Set cond. codes on Op1 - Op2
some_sahara_stuff 19 001060e0 MOV             R4, #0xD; Rd = Op2
some_sahara_stuff 20 001060e8 LDR             R2, =0xC8300; a3
some_sahara_stuff 21 001060fc LDR             R1, [R6,#0x28]; Load from Memory
sub_10613C 0 0010613c B               sub_10F450; Branch
sub_10613C 1 0010f450 CMP             R2, #0; Set cond. codes on Op1 - Op2
j_memset 0 00106140 B               memset; Branch
j_memset 1 0010f660 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_106144 0 00106144 MOV             R3, #0; a4
sub_106144 1 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_10616C 0 0010616c B               sub_10371C; Branch
sub_10616C 1 0010371c STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_106170 0 00106170 B               sub_1036DC; Branch
sub_106170 1 001036dc LDR             R3, =0xFFDF69C3; Load from Memory
sub_106174 0 00106174 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106174 1 00106184 MOV             R3, #0; a4
sub_106174 2 00106198 MOV             R0, R5; Rd = Op2
sub_1061C4 0 001061c4 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_1061C4 1 001061f0 MOV             R3, #0; a4
sub_1061C4 2 00106204 LDR             R0, [R4,#0]; Load from Memory
sub_1061C4 3 00106214 LDR             R0, [R4,#0x40]; Load from Memory
sub_1061C4 4 00106224 CMP             R1, #1; Set cond. codes on Op1 - Op2
sub_1061C4 5 0010622c CMP             R1, #2; Set cond. codes on Op1 - Op2
sub_1061C4 6 00106234 B               loc_106268; Branch
sub_1061C4 7 00106238 ORR             R0, R0, #1; Rd = Op1 | Op2
sub_1061C4 8 00106248 ORR             R0, R0, #2; Rd = Op1 | Op2
sub_1061C4 9 00106254 MOV             R1, #1; Rd = Op2
sub_1061C4 10 00106268 LDR             R0, [SP,#0x54]; Load from Memory
sub_1061C4 11 00106298 LDR             R0, [R4,#0x14]; Load from Memory
sub_1061C4 12 001062dc LDR             R0, [R4,#0x18]; Load from Memory
sub_1061C4 13 001062e8 LDR             R0, [R4,#0x34]; Load from Memory
sub_1061C4 14 00106308 STR             R8, [SP,#0]; Store to Memory
sub_1061C4 15 00106328 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_1061C4 16 00106334 MOV             R0, #0xC; Rd = Op2
sub_1061C4 17 0010635c LDR             R0, [R4,#0x34]; Load from Memory
sub_1061C4 18 00106370 LDR             R0, [R4,#0]; Load from Memory
sub_1061C4 19 00106380 CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_1061C4 20 00106388 MOV             R1, #0; Rd = Op2
sub_1061C4 21 00106398 ORRS            R0, R5, R9; Rd = Op1 | Op2
sub_1061C4 22 001063a0 MOV             R0, #1; Rd = Op2
sub_1061C4 23 001063a4 ADD             SP, SP, #0x5C; Rd = Op1 + Op2
sub_1063C4 0 001063c4 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_1063C4 1 001063dc LDR             R3, [R1,#8]; Load from Memory
sub_1063C4 2 001063e8 LDR             R1, [R1,#0]; Load from Memory
sub_1063C4 3 001063f8 MOV             R0, #3; Rd = Op2
sub_1063C4 4 001063fc BX              LR; Branch to/from Thumb mode
sub_106400 0 00106400 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106400 1 0010641c LDR             R1, [R4,#8]; Load from Memory
sub_106400 2 00106430 ADD             R1, R1, R0; Rd = Op1 + Op2
sub_106400 3 00106444 BL              sub_10F154; Branch with Link
sub_106400 4 00106454 LDR             R1, [R4,#8]; Load from Memory
sub_106400 5 00106460 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_106400 6 00106468 MOV             R5, #3; Rd = Op2
sub_106400 7 00106470 STR             R0, [R6,#8]; Store to Memory
sub_106400 8 0010648c MOV             R0, R5; Rd = Op2
sub_106494 0 00106494 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106494 1 001064b0 LDR             R1, [R0,#8]; Load from Memory
sub_106494 2 001064bc LDR             R1, [R0,#0]; Load from Memory
sub_106494 3 001064c8 ADD             R2, R1, #1; Rd = Op1 + Op2
sub_106494 4 001064dc MOV             R4, #3; Rd = Op2
sub_106494 5 001064e4 MOV             R0, R1; Rd = Op2
sub_106494 6 001064f8 MOV             R0, R4; Rd = Op2
sub_106500 0 00106500 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_106500 1 0010652c MOV             R0, #0; Rd = Op2
sub_106500 2 00106548 MOV             R0, R4; Rd = Op2
sub_106500 3 0010655c BL              sub_10F154; Branch with Link
sub_106500 4 00106574 ADD             R0, R4, #1; Rd = Op1 + Op2
sub_106500 5 00106588 MOV             R0, R4; Rd = Op2
sub_106500 6 0010659c MOV             R7, #3; Rd = Op2
sub_106500 7 001065a4 SUBS            R6, R6, #1; Rd = Op1 - Op2
sub_106500 8 001065b0 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_106500 9 001065b8 MOV             R0, R7; Rd = Op2
sub_106500 10 001065bc LDMFD           SP!, {R4-R10,PC}; Load Block from Memory
sub_106500 11 001065c0 BL              sub_10F154; Branch with Link
sub_106500 12 001065cc ADD             R0, R4, R5; Rd = Op1 + Op2
sub_106500 13 001065e4 B               loc_10659C; Branch
sub_1065E8 0 001065e8 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1065E8 1 00106608 ADD             R2, R0, #1; Rd = Op1 + Op2
sub_1065E8 2 00106618 BL              sub_10F154; Branch with Link
sub_1065E8 3 00106638 ANDS            R1, R0, #0xC0; Rd = Op1 & Op2
sub_1065E8 4 00106648 CMP             R1, #0x80; Set cond. codes on Op1 - Op2
sub_1065E8 5 00106650 STR             R2, [R4,#0]; Store to Memory
sub_1065E8 6 00106654 MOV             R0, R6; Rd = Op2
sub_1065E8 7 0010665c MOV             R6, #3; Rd = Op2
sub_106664 0 00106664 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106664 1 00106684 LDR             R1, [R0,#8]; Load from Memory
sub_106664 2 001066a0 CMP             R2, #0; Set cond. codes on Op1 - Op2
sub_106664 3 001066a8 CMP             R1, #0xD; Set cond. codes on Op1 - Op2
sub_106664 4 001066b4 MOV             R0, R5; Rd = Op2
sub_106664 5 00106704 CMP             R1, #0xF; Set cond. codes on Op1 - Op2
sub_106664 6 0010670c MOV             R0, R5; Rd = Op2
sub_106664 7 00106790 MOV             R0, R5; Rd = Op2
sub_106664 8 001068b4 MOV             R4, #3; Rd = Op2
sub_106664 9 001068bc MOV             R0, SP; Rd = Op2
sub_106664 10 001068c8 MOV             R0, R4; Rd = Op2
sub_106664 11 001068cc ADD             SP, SP, #0x18; Rd = Op1 + Op2
sub_1068DC 0 001068dc CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1068DC 1 001068ec LDR             R2, [R0,#8]; Load from Memory
sub_1068DC 2 001068f8 LDR             R2, [R0,#0]; Load from Memory
sub_1068DC 3 00106908 MOV             R1, #3; Rd = Op2
sub_1068DC 4 0010690c MOV             R0, R1; Rd = Op2
sub_106914 0 00106914 STMFD           SP!, {R3-R9,LR}; Store Block to Memory
sub_106914 1 0010692c LDR             R8, [R4,#8]; Load from Memory
sub_106914 2 00106938 LDR             R7, [R4,#0]; Load from Memory
sub_106914 3 00106948 LDR             R1, [R4,#4]; Load from Memory
sub_106914 4 00106954 MOV             R0, #4; Rd = Op2
sub_106914 5 00106958 LDMFD           SP!, {R3-R9,PC}; Load Block from Memory
sub_106914 6 0010695c CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_106914 7 0010696c MOV             R2, SP; Rd = Op2
sub_106914 8 00106980 STR             R7, [R4],#4; Store to Memory
sub_106914 9 00106990 CMP             R9, #0; Set cond. codes on Op1 - Op2
sub_106914 10 00106998 LDR             R0, [SP,#0]; Load from Memory
sub_106914 11 001069a4 STR             R7, [R4],#4; Store to Memory
sub_106914 12 001069b8 LDR             R1, [R4,#4]; Load from Memory
sub_106914 13 001069d0 LDR             R1, [R4,#0]; Load from Memory
sub_106914 14 001069f4 MOV             R0, #3; Rd = Op2
sub_106914 15 001069fc STR             R1, [R4,#0]; Store to Memory
sub_106914 16 00106a34 LDR             R12, [R4,#0]; Load from Memory
sub_106914 17 00106a44 LDR             R12, [R4,#4]; Load from Memory
sub_106914 18 00106a54 CMP             R1, R2; Set cond. codes on Op1 - Op2
sub_106914 19 00106a5c CMP             R6, R1; Set cond. codes on Op1 - Op2
sub_106914 20 00106a64 LDMFD           SP!, {R3-R9,PC}; Load Block from Memory
sub_106A68 0 00106a68 STMFD           SP!, {R0-R2,R4,R5,LR}; Store Block to Memory
sub_106A68 1 00106a8c CMP             R1, R5; Set cond. codes on Op1 - Op2
sub_106A68 2 00106a94 MOV             R2, SP; Rd = Op2
sub_106A68 3 00106aac LDR             R0, [SP,#0]; Load from Memory
sub_106A68 4 00106abc ADD             R2, R4, #8; Rd = Op1 + Op2
sub_106A68 5 00106ad4 LDR             R2, [R4,#8]; Load from Memory
sub_106A68 6 00106ae0 MOV             R0, #3; Rd = Op2
sub_106A68 7 00106ae4 ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_106A68 8 00106aec LDR             R1, [SP,#8]; Load from Memory
sub_106A68 9 00106b04 CMP             R5, R2; Set cond. codes on Op1 - Op2
sub_106A68 10 00106b0c ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_106B14 0 00106b14 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_106B14 1 00106b2c LDR             R0, [R5,#0x384]; Load from Memory
sub_106B14 2 00106b3c BLS             loc_106C08; Branch
sub_106B14 3 00106b40 LDR             R1, [R6,#0]; Load from Memory
sub_106B14 4 00106b4c LDR             R0, [R6,#8]; Load from Memory
sub_106B14 5 00106b58 RSB             R0, R4, R4,LSL#4; Rd = Op2 - Op1
sub_106B14 6 00106b6c CMN             R1, #1; Set cond. codes on Op1 + Op2
sub_106B14 7 00106b7c LDR             R0, [R0,#0xC4]; Load from Memory
sub_106B14 8 00106b90 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_106B14 9 00106b98 RSB             R0, R4, R4,LSL#4; Rd = Op2 - Op1
sub_106B14 10 00106bb8 B               loc_106BC4; Branch
sub_106B14 11 00106bbc MOV             R0, #3; Rd = Op2
sub_106B14 12 00106bc4 MOV             R7, #3; Rd = Op2
sub_106B14 13 00106bcc LDR             R0, [R5,#0x384]; Load from Memory
sub_106B14 14 00106bdc RSB             R0, R4, R4,LSL#4; Rd = Op2 - Op1
sub_106B14 15 00106bf8 LDR             R0, [R5,#0x384]; Load from Memory
sub_106B14 16 00106c08 MOV             R0, R7; Rd = Op2
sub_106C10 0 00106c10 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106C10 1 00106c24 ADDS            R0, R4, #0x5C; Rd = Op1 + Op2
sub_106C10 2 00106c38 LDR             R2, [R1,#0xC]; Load from Memory
sub_106C10 3 00106c4c LDR             R3, [R1,#4]; Load from Memory
sub_106C10 4 00106c60 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_106C10 5 00106c68 LDR             R0, [R5,#0x88]; Load from Memory
sub_106C10 6 00106c74 LDR             R0, [R5,#0x94]; Load from Memory
sub_106C10 7 00106c88 LDR             R2, [R4,#0xC0]; Load from Memory
sub_106C10 8 00106c94 LDR             R1, [R4,#0xB8]; Load from Memory
sub_106C10 9 00106ca8 LDR             R0, [R5,#0xB0]; Load from Memory
sub_106C10 10 00106cb4 LDR             R2, [R4,#0x18]; Load from Memory
sub_106C10 11 00106cc0 MOV             R0, #1; Rd = Op2
sub_106C10 12 00106cc4 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_106C10 13 00106cc8 LDR             R1, [R4,#0x10]; Load from Memory
sub_106C10 14 00106cdc LDR             R0, [R5,#0x98]; Load from Memory
sub_106C10 15 00106ce8 ADDS            R0, R4, #0x2C; Rd = Op1 + Op2
sub_106C10 16 00106cfc LDR             R2, [R3,#0xC]; Load from Memory
sub_106C10 17 00106d10 LDR             R1, [R0,#4]; Load from Memory
sub_106C10 18 00106d1c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_106C10 19 00106d24 LDR             R0, [R4,#0xC8]; Load from Memory
sub_106C10 20 00106d30 LDR             R0, [R4,#0xC4]; Load from Memory
sub_106C10 21 00106d40 MOV             R0, #0; Rd = Op2
sub_106D7C 0 00106d7c STMFD           SP!, {R4-R7,LR}; Store Block to Memory
sub_106D7C 1 00106d9c CMP             R4, R7; Set cond. codes on Op1 - Op2
sub_106D7C 2 00106da4 ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_106D7C 3 00106db0 MOV             R2, SP; Rd = Op2
sub_106D7C 4 00106dc0 LDR             R0, [SP,#0]; Load from Memory
sub_106D7C 5 00106dd0 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_106D7C 6 00106dd8 LDR             R1, [SP,#8]; Load from Memory
sub_106D7C 7 00106dec ADD             R0, R0, R4; Rd = Op1 + Op2
sub_106D7C 8 00106df8 CMP             R7, R0; Set cond. codes on Op1 - Op2
sub_106D7C 9 00106e00 MOV             R5, #3; Rd = Op2
sub_106D7C 10 00106e04 ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_106E48 0 00106e48 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_106E48 1 00106e64 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_106E48 2 00106e6c MOV             R0, #1; Rd = Op2
sub_106E48 3 00106e8c MOV             R2, #0x80; Rd = Op2
sub_106E48 4 00106ea4 MOV             R2, #0xA1; Rd = Op2
sub_106E48 5 00106ebc CMP             R0, #3; Set cond. codes on Op1 - Op2
sub_106E48 6 00106ec8 B               loc_106EE0; Branch
sub_106E48 7 00106ecc ADD             R1, R5, #0x10; Rd = Op1 + Op2
sub_106E48 8 00106ee0 MOV             R2, #0x82; Rd = Op2
sub_106E48 9 00106ef8 MOV             R1, SP; Rd = Op2
sub_106E48 10 00106f0c MOV             R4, #3; Rd = Op2
sub_106E48 11 00106f10 MOV             R0, R4; Rd = Op2
sub_106E48 12 00106f14 ADD             SP, SP, #0x18; Rd = Op1 + Op2
sub_106F1C 0 00106f1c STMFD           SP!, {R4-R9,LR}; Store Block to Memory
sub_106F1C 1 00106f3c MOV             R2, #0x10; Rd = Op2
sub_106F1C 2 00106f50 LDR             R0, [SP,#8]; Load from Memory
sub_106F1C 3 00106f68 MOV             R2, #1; Rd = Op2
sub_106F1C 4 00106f80 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_106F1C 5 00106f8c B               loc_107018; Branch
sub_106F1C 6 00106f90 STR             R7, [R4,#0x50]!; Store to Memory
sub_106F1C 7 00106fa0 ADD             R1, SP, #0x18; Rd = Op1 + Op2
sub_106F1C 8 00106fb4 STR             R9, [R4,#0x54]; Store to Memory
sub_106F1C 9 00106fd8 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_106F1C 10 00106fe8 B               loc_107018; Branch
sub_106F1C 11 00106fec LDR             R0, [SP,#0x14]; Load from Memory
sub_106F1C 12 00106ff8 LDR             R0, [SP,#0xC]; Load from Memory
sub_106F1C 13 00107004 MOV             R1, SP; Rd = Op2
sub_106F1C 14 00107018 MOV             R5, #3; Rd = Op2
sub_106F1C 15 0010701c MOV             R0, R5; Rd = Op2
sub_106F1C 16 00107020 ADD             SP, SP, #0x1C; Rd = Op1 + Op2
sub_107028 0 00107028 STMFD           SP!, {R0-R11,LR}; Store Block to Memory
sub_107028 1 00107058 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_107028 2 00107068 ADD             R9, R0, R1; Rd = Op1 + Op2
sub_107028 3 00107074 CMP             R10, #0; Set cond. codes on Op1 - Op2
sub_107028 4 0010707c STR             R0, [SP,#4]; Store to Memory
sub_107028 5 001070a0 MOV             R2, #1; Rd = Op2
sub_107028 6 001070b8 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_107028 7 001070c8 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_107028 8 001070d0 B               loc_107108; Branch
sub_107028 9 001070d4 ADD             SP, SP, #0x1C; Rd = Op1 + Op2
sub_107028 10 001070e0 LDR             R0, =0x2FFFD; Load from Memory
sub_107028 11 001070ec B               loc_10711C; Branch
sub_107028 12 001070f0 ADD             R0, R5, #1; Rd = Op1 + Op2
sub_107028 13 00107100 MOV             R4, #1; Rd = Op2
sub_107028 14 00107108 LDR             R0, [SP,#0]; Load from Memory
sub_107028 15 00107114 CMP             R8, #0x10; Set cond. codes on Op1 - Op2
sub_107028 16 0010711c MOV             R0, #0; Rd = Op2
sub_107028 17 00107128 CMP             R10, #1; Set cond. codes on Op1 - Op2
sub_107028 18 00107130 LDR             R0, [SP,#0]; Load from Memory
